QUESTIONS,ANSWER,LOD,TRANSLATION,FRUIT,CATEGORY
"For we walk by faith, not by sight.",2 Corinthians 5:7,Easy,KJV,Faith,
"So then faith cometh by hearing, and hearing by the word of God.",Romans 10:17,Easy,KJV,Faith,
"Jesus said unto him, 'If thou canst believe, all things are possible to him that believeth.'",Mark 9:23,Easy,KJV,Faith,
"And all things, whatsoever ye shall ask in prayer, believing, ye shall receive.",Matthew 21:22,Easy,KJV,Faith,
"Even so faith, if it hath not works, is dead, being alone.",James 2:17,Easy,KJV,Faith,
"Behold, his soul which is lifted up is not upright in him: but the just shall live by his faith.",Habakkuk 2:4,Easy,KJV,Faith,
"If we believe not, yet he abideth faithful: he cannot deny himself.",2 Timothy 2:13,Easy,KJV,Faith,
"For whatsoever is born of God overcometh the world: and this is the victory that overcometh the world, even our faith.",1 John 5:4,Intermediate,KJV,Faith,
"For by grace are ye saved through faith, and that not of yourselves. It is the gift of God - not of works, lest any man should boast.",Ephesians 2:8-9,Intermediate,KJV,Faith,
"Knowing this, that the trying of your faith works patience...But let him ask in faith, nothing wavering. For he that wavers is like a wave of the sea driven with the wind and tossed.","James 1:3, 6",Intermediate,KJV,Faith,
"And Jesus said unto them, Because of your unbelief: for verily I say unto you, If ye have faith as a grain of mustard seed, ye shall say unto this mountain, Remove hence to yonder place; and it shall remove; and nothing shall be impossible unto you. Howbeit this kind goeth not out but by prayer and fasting.",Matthew 17:20-21,Difficult,KJV,Faith,
"Now faith is the substance of things hoped for, the evidence of things not seen. For by it the elders obtained a good report. Through faith we understand that the worlds were framed by the word of God, so that things which are seen were not made of things which do appear.",Hebrews 11:1-3,Difficult,KJV,Faith,
"But without faith it is impossible to please him: for he that cometh to God must believe that he is, and that he is a rewarder of them that diligently seek him.",Hebrews 11:6,Difficult,KJV,Faith,
"Through faith also Sara herself received strength to conceive seed, and was delivered of a child when she was past age, because she judged him faithful who had promised.",Hebrews 11:11,Difficult,KJV,Faith,
"For God so loved the world that he gave his only begotten son, that whosoever believes in him shall not perish, but have everlasting life.",John 3:16,Easy,KJV,Love,
"Greater love hath no man than this, that a man lay down his life for his friends.",John 15:13,Easy,KJV,Love,
"Owe no man any thing, but to love one another: for he that loveth another hath fulfilled the law.",Romans 13:8,Easy,KJV,Love,
"Charity suffereth long, and is kind; charity envieth not; charity vaunteth not itself, is not puffed up, Doth not behave itself unseemly, seeketh not her own, is not easily provoked, thinketh no evil; Rejoiceth not in iniquity, but rejoiceth in the truth; Beareth all things, believeth all things, hopeth all things, endureth all things. Charity never faileth.",1 Corinthians 13:4-8,Difficult,KJV,Love,
Hatred stirreth up strifes: but love covereth all sins.,Proverbs 10:12,Easy,KJV,Love,
And above all things have fervent charity among yourselves: for charity shall cover the multitude of sins.,1 Peter 4:8,Intermediate,KJV,Love,
"And above all these things put on charity, which is the bond of perfectness.",Colossian 3:14,Easy,KJV,Love,
"A new commandment I give unto you, That ye love one another; as I have loved you, that ye also love one another.",John 13:34,Intermediate,KJV,Love,
"A friend loveth at all times, and a brother is born for adversity.",Proverbs 17:17,Easy,KJV,Love,
Let love be without dissimulation. Abhor that which is evil; cleave to that which is good.,Romans 12:9,Intermediate,KJV,Love,
"Thou shalt not avenge, nor bear any grudge against the children of thy people, but thou shalt love thy neighbour as thyself: I am the Lord.",Leviticus 19:18,Easy,KJV,Love,
"And though I have the gift of prophecy, and understand all mysteries, and all knowledge; and though I have all faith, so that I could remove mountains, and have not charity, I am nothing.",1 Corinthians 13:2,Intermediate,KJV,Love,
"But I say unto you, Love your enemies, bless them that curse you, do good to them that hate you, and pray for them which despitefully use you, and persecute you;",Matthew 5:44,Easy,KJV,Love,
There is no fear in love; but perfect love casteth out fear: because fear hath torment. He that feareth is not made perfect in love.,1 John 4:18,Easy,KJV,Love,
"Jesus said unto him, Thou shalt love the Lord thy God with all thy heart, and with all thy soul, and with all thy mind. This is the first and great commandment. And the second is like unto it, Thou shalt love thy neighbour as thyself. On these two commandments hang all the law and the prophets.",Matthew 22:37-40,Difficult,KJV,Love,
"And now abideth faith, hope, charity, these three; but the greatest of these is charity.",1 Corinthians 13:13,Easy,KJV,Love,
"Set me as a seal upon thine heart, as a seal upon thine arm: for love is strong as death; jealousy is cruel as the grave: the coals thereof are coals of fire, which hath a most vehement flame.",Song of Solomon 8:6,Intermediate,KJV,Love,
"And we have known and believed the love that God hath to us. God is love; and he that dwelleth in love dwelleth in God, and God in him.",1 John 4:16,Easy,KJV,Love,
"No man hath seen God at any time. If we love one another, God dwelleth in us, and his love is perfected in us.",1 John 4:12,Easy,KJV,Love,
"My brethren, count it all joy when ye fall into divers temptations; Knowing this, that the trying of your faith worketh patience.",James 1:2-3,Easy,KJV,Joy,
"Hitherto have ye asked nothing in my name: ask, and ye shall receive, that your joy may be full.",John 16:24,Easy,KJV,Joy,
"Then he said unto them, Go your way, eat the fat, and drink the sweet, and send portions unto them for whom nothing is prepared: for this day is holy unto our Lord: neither be ye sorry; for the joy of the Lord is your strength.",Nehemiah 8 :10,Intermediate,KJV,Joy,
"And the ransomed of the Lord shall return, and come to Zion with songs and everlasting joy upon their heads: they shall obtain joy and gladness, and sorrow and sighing shall flee away.",Isaiah 35:10,Intermediate,KJV,Joy,
"For his anger endureth but a moment; in his favour is life: weeping may endure for a night, but joy cometh in the morning.",Psalm 30:5,Easy,KJV,Joy,
"Rejoice in the lord alway; and again, I say rejoice.",Philippians 4:4,Easy,KJV,Joy,
"For the kingdom of God is not meat and drink; but righteousness, and peace, and joy in the Holy Ghost.",Romans 14:17,Easy,KJV,Joy,
"And ye now therefore have sorrow: but I will see you again, and your heart shall rejoice, and your joy no man taketh from you.",John 16:22,Intermediate,KJV,Joy,
"And not only so, but we glory in tribulations also: knowing that tribulation worketh patience; And patience, experience; and experience, hope: And hope maketh not ashamed; because the love of God is shed abroad in our hearts by the Holy Ghost which is given unto us.",Romans 5:3-5,Intermediate,KJV,Joy,
Thou wilt shew me the path of life: in thy presence is fulness of joy; at thy right hand there are pleasures for evermore.,Psalm 16:11,Intermediate,KJV,Joy,
"And when he cometh home, he calleth together his friends and neighbours, saying unto them, Rejoice with me; for I have found my sheep which was lost. I say unto you, that likewise joy shall be in heaven over one sinner that repenteth, more than over ninety and nine just persons, which need no repentance.",Luke 15:6-7,Difficult,KJV,Joy,
Rejoicing in hope; patient in tribulation; continuing instant in prayer;,Romans 12:12,Easy,KJV,Joy,
"These things have I spoken unto you, that my joy might remain in you, and that your joy might be full.",John 15:11,Easy,KJV,Joy,
This is the day which the Lord hath made; we will rejoice and be glad in it.,Psalm 118:24,Easy,KJV,Joy,
The hope of the righteous shall be gladness: but the expectation of the wicked shall perish.,Proverbs 10:28,Intermediate,KJV,Joy,
"My lips shall greatly rejoice when I sing unto thee; and my soul, which thou hast redeemed.",Psalm 71:23,Easy,KJV,Joy,
"The Lord thy God in the midst of thee is mighty; he will save, he will rejoice over thee with joy; he will rest in his love, he will joy over thee with singing.",Zephaniah 3:17,Intermediate,KJV,Joy,
"Looking unto Jesus the author and finisher of our faith; who for the joy that was set before him endured the cross, despising the shame, and is set down at the right hand of the throne of God.",Hebrews 12:2,Intermediate,KJV,Joy,
Rejoice evermore. Pray without ceasing. In every thing give thanks: for this is the will of God in Christ Jesus concerning you.,1 Thessalonians 5:16-18,Easy,KJV,Joy,
Glory and honour are in his presence; strength and gladness are in his place.,1 Chronicles 16:27,Easy,KJV,Joy,
"Be glad in the Lord, and rejoice, ye righteous: and shout for joy, all ye that are upright in heart.",Psalm 32:11,Easy,KJV,Joy,
"For ye shall go out with joy, and be led forth with peace: the mountains and the hills shall break forth before you into singing, and all the trees of the field shall clap their hands.",Isaiah 55:12,Intermediate,KJV,Joy,
They that sow in tears shall reap in joy.,Psalm 126:5,Easy,KJV,Joy,
"Make a joyful noise unto the Lord, all ye lands.",Psalm 100:1,Easy,KJV,Joy,
"Thy words were found, and I did eat them; and thy word was unto me the joy and rejoicing of mine heart: for I am called by thy name, O Lord God of hosts.",Jeremiah 15:16,Intermediate,KJV,Joy,
Deceit is in the heart of them that imagine evil: but to the counsellors of peace is joy.,Proverbs 12:20,Intermediate,KJV,Joy,
"Be careful for nothing. but in everything by prayer & supplication, with thanksgiving, let your requests be made known unto god. ANd the peace of god which surpasses all understanding shall keep your hearts & minds through christ jesus.",Phillippians 4:6-7,Intermediate,KJV,Peace,
"Peace I leave with you, my peace I give unto you: not as the world giveth, give I unto you. Let not your heart be troubled, neither let it be afraid.",John 14:27,Easy,KJV,Peace,
"Thou wilt keep him in perfect peace, whose mind is stayed on thee: because he trusteth in thee.",Isaiah 26:3,Easy,KJV,Peace,
Now the Lord of peace himself give you peace always by all means. The Lord be with you all.,2 Thessalonians 3:16,Easy,KJV,Peace,
"I will both lay me down in peace, and sleep: for thou, Lord, only makest me dwell in safety.",Psalm 4:8,Easy,KJV,Peace,
"Therefore being justified by faith, we have peace with God through our Lord Jesus Christ.",Romans 5:1,Intermediate,KJV,Peace,
"And let the peace of God rule in your hearts, to the which also ye are called in one body; and be ye thankful.",Colossians 3:15,Intermediate,KJV,Peace,
"Depart from evil, and do good. seek peace, and pursue it.",Psalm 34:14,Easy,KJV,Peace,
"When a man's ways please the Lord, he maketh even his enemies to be at peace with him.",Proverbs 16:7,Intermediate,KJV,Peace,
"Then said Jesus to them again, Peace be unto you: as my Father hath sent me, even so send I you.",John 20:21,Intermediate,KJV,Peace,
"And he arose, and rebuked the wind, and said unto the sea, Peace, be still. And the wind ceased, and there was a great calm.",Mark 4:39,Difficult,KJV,Peace,
Blessed are the peacemakers: for they shall be called the children of God.,Matthew 5:9,Easy,KJV,Peace,
"Follow peace with all men, and holiness, without which no man shall see the Lord.",Hebrews 12:14,Intermediate,KJV,Peace,
"For God is not the author of confusion, but of peace, as in all churches of the saints.",1 Corinthians 14:33,Intermediate,KJV,Peace,
