QUESTIONS,ANSWER,LOD,TRANSLATION,FRUIT,CATEGORY
"For we walk by faith, not by sight.",2 Corinthians 5:7,Easy,KJV,Faith,
"So then faith cometh by hearing, and hearing by the word of God.",Romans 10:17,Easy,KJV,Faith,
"Jesus said unto him, 'If thou canst believe, all things are possible to him that believeth.'",Mark 9:23,Easy,KJV,Faith,
"And all things, whatsoever ye shall ask in prayer, believing, ye shall receive.",Matthew 21:22,Easy,KJV,Faith,
"Even so faith, if it hath not works, is dead, being alone.",James 2:17,Easy,KJV,Faith,
"Behold, his soul which is lifted up is not upright in him: but the just shall live by his faith.",Habakkuk 2:4,Easy,KJV,Faith,
"If we believe not, yet he abideth faithful: he cannot deny himself.",2 Timothy 2:13,Easy,KJV,Faith,
"For whatsoever is born of God overcometh the world: and this is the victory that overcometh the world, even our faith.",1 John 5:4,Intermediate,KJV,Faith,
"For by grace are ye saved through faith, and that not of yourselves. It is the gift of God - not of works, lest any man should boast.",Ephesians 2:8-9,Intermediate,KJV,Faith,
"Knowing this, that the trying of your faith works patience...But let him ask in faith, nothing wavering. For he that wavers is like a wave of the sea driven with the wind and tossed.","James 1:3, 6",Intermediate,KJV,Faith,
"And Jesus said unto them, Because of your unbelief: for verily I say unto you, If ye have faith as a grain of mustard seed, ye shall say unto this mountain, Remove hence to yonder place; and it shall remove; and nothing shall be impossible unto you. Howbeit this kind goeth not out but by prayer and fasting.",Matthew 17:20-21,Difficult,KJV,Faith,
"Now faith is the substance of things hoped for, the evidence of things not seen. For by it the elders obtained a good report. Through faith we understand that the worlds were framed by the word of God, so that things which are seen were not made of things which do appear.",Hebrews 11:1-3,Difficult,KJV,Faith,
"But without faith it is impossible to please him: for he that cometh to God must believe that he is, and that he is a rewarder of them that diligently seek him.",Hebrews 11:6,Difficult,KJV,Faith,
"Through faith also Sara herself received strength to conceive seed, and was delivered of a child when she was past age, because she judged him faithful who had promised.",Hebrews 11:11,Difficult,KJV,Faith,
