QUESTIONS,ANSWER,LOD,TRANSLATION,FRUIT,CATEGORY
"I had fainted, unless I had believed to see the goodness of the Lord in the land of the living. Wait on the Lord: be of good courage, and he shall strengthen thine heart: wait, I say, on the Lord.",Psalm 27:13-14,Intermediate,KJV,Goodness,
Surely goodness and mercy shall follow me all the days of my life: and I will dwell in the house of the Lord for ever.,Psalm 23:6,Easy,KJV,Goodness,
The Lord is good to all: and his tender mercies are over all his works.,Psalm 145:9,Easy,KJV,Goodness,
"And Jesus said unto him, Why callest thou me good? there is none good but one, that is, God.",Mark 10:18,Easy,KJV,Goodness,
"Every good gift and every perfect gift is from above, and cometh down from the Father of lights, with whom is no variableness, neither shadow of turning.",James 1:17,Intermediate,KJV,Goodness,
"If ye then, being evil, know how to give good gifts unto your children, how much more shall your Father which is in heaven give good things to them that ask him?",Matthew 7:11,Intermediate,KJV,Goodness,
He loveth righteousness and judgment: the earth is full of the goodness of the Lord.,Psalm 33:5,Easy,KJV,Goodness,
"Oh that men would praise the Lord for his goodness, and for his wonderful works to the children of men! For he satisfieth the longing soul, and filleth the hungry soul with goodness.",Psalm 107:8-9,Intermediate,KJV,Goodness,
"Thou gavest also thy good spirit to instruct them, and withheldest not thy manna from their mouth, and gavest them water for their thirst.",Nehemiah 9:20,Intermediate,KJV,Goodness,
"The Lord is good, a strong hold in the day of trouble; and he knoweth them that trust in him.",Nahum 1:7,Easy,KJV,Goodness,
"Oh how great is thy goodness, which thou hast laid up for them that fear thee; which thou hast wrought for them that trust in thee before the sons of men! Thou shalt hide them in the secret of thy presence from the pride of man: thou shalt keep them secretly in a pavilion from the strife of tongues.",Psalm 31:19-20,Difficult,KJV,Goodness,
"O my soul, thou hast said unto the Lord, Thou art my Lord: my goodness extendeth not to thee;",Psalm 16:2,Difficult,KJV,Goodness,
O taste and see that the Lord is good: blessed is the man that trusteth in him.,Psalm 34:8,Easy,KJV,Goodness,
For the Lord God is a sun and shield: the Lord will give grace and glory: no good thing will he withhold from them that walk uprightly.,Psalm 84:11,Intermediate,KJV,Goodness,
"For thou, Lord, art good, and ready to forgive; and plenteous in mercy unto all them that call upon thee.",Psalm 86:5,Easy,KJV,Goodness,
"But love ye your enemies, and do good, and lend, hoping for nothing again; and your reward shall be great, and ye shall be the children of the Highest: for he is kind unto the unthankful and to the evil.",Luke 6:35,Difficult,KJV,Goodness,
"Nevertheless he left not himself without witness, in that he did good, and gave us rain from heaven, and fruitful seasons, filling our hearts with food and gladness.",Acts 14:17,Intermediate,KJV,Goodness,
"And we know that all things work together for good to them that love God, to them who are the called according to his purpose.",Romans 8:28,Easy,KJV,Goodness,
"But I say unto you which hear, Love your enemies, do good to them which hate you, Bless them that curse you, and pray for them which despitefully use you.",Luke 6:27-28,Intermediate,KJV,Goodness,
