QUESTIONS,ANSWER,LOD,TRANSLATION,FRUIT,CATEGORY
"My brethren, count it all joy when ye fall into divers temptations; Knowing this, that the trying of your faith worketh patience.",James 1:2-3,Easy,KJV,Joy,
"Hitherto have ye asked nothing in my name: ask, and ye shall receive, that your joy may be full.",John 16:24,Easy,KJV,Joy,
"Then he said unto them, Go your way, eat the fat, and drink the sweet, and send portions unto them for whom nothing is prepared: for this day is holy unto our Lord: neither be ye sorry; for the joy of the Lord is your strength.",Nehemiah 8 :10,Intermediate,KJV,Joy,
"And the ransomed of the Lord shall return, and come to Zion with songs and everlasting joy upon their heads: they shall obtain joy and gladness, and sorrow and sighing shall flee away.",Isaiah 35:10,Intermediate,KJV,Joy,
"For his anger endureth but a moment; in his favour is life: weeping may endure for a night, but joy cometh in the morning.",Psalm 30:5,Easy,KJV,Joy,
"Rejoice in the lord alway; and again, I say rejoice.",Philippians 4:4,Easy,KJV,Joy,
"For the kingdom of God is not meat and drink; but righteousness, and peace, and joy in the Holy Ghost.",Romans 14:17,Easy,KJV,Joy,
"And ye now therefore have sorrow: but I will see you again, and your heart shall rejoice, and your joy no man taketh from you.",John 16:22,Intermediate,KJV,Joy,
"And not only so, but we glory in tribulations also: knowing that tribulation worketh patience; And patience, experience; and experience, hope: And hope maketh not ashamed; because the love of God is shed abroad in our hearts by the Holy Ghost which is given unto us.",Romans 5:3-5,Intermediate,KJV,Joy,
Thou wilt shew me the path of life: in thy presence is fulness of joy; at thy right hand there are pleasures for evermore.,Psalm 16:11,Intermediate,KJV,Joy,
"And when he cometh home, he calleth together his friends and neighbours, saying unto them, Rejoice with me; for I have found my sheep which was lost. I say unto you, that likewise joy shall be in heaven over one sinner that repenteth, more than over ninety and nine just persons, which need no repentance.",Luke 15:6-7,Difficult,KJV,Joy,
Rejoicing in hope; patient in tribulation; continuing instant in prayer;,Romans 12:12,Easy,KJV,Joy,
"These things have I spoken unto you, that my joy might remain in you, and that your joy might be full.",John 15:11,Easy,KJV,Joy,
This is the day which the Lord hath made; we will rejoice and be glad in it.,Psalm 118:24,Easy,KJV,Joy,
The hope of the righteous shall be gladness: but the expectation of the wicked shall perish.,Proverbs 10:28,Intermediate,KJV,Joy,
"My lips shall greatly rejoice when I sing unto thee; and my soul, which thou hast redeemed.",Psalm 71:23,Easy,KJV,Joy,
"The Lord thy God in the midst of thee is mighty; he will save, he will rejoice over thee with joy; he will rest in his love, he will joy over thee with singing.",Zephaniah 3:17,Intermediate,KJV,Joy,
"Looking unto Jesus the author and finisher of our faith; who for the joy that was set before him endured the cross, despising the shame, and is set down at the right hand of the throne of God.",Hebrews 12:2,Intermediate,KJV,Joy,
Rejoice evermore. Pray without ceasing. In every thing give thanks: for this is the will of God in Christ Jesus concerning you.,1 Thessalonians 5:16-18,Easy,KJV,Joy,
Glory and honour are in his presence; strength and gladness are in his place.,1 Chronicles 16:27,Easy,KJV,Joy,
"Be glad in the Lord, and rejoice, ye righteous: and shout for joy, all ye that are upright in heart.",Psalm 32:11,Easy,KJV,Joy,
"For ye shall go out with joy, and be led forth with peace: the mountains and the hills shall break forth before you into singing, and all the trees of the field shall clap their hands.",Isaiah 55:12,Intermediate,KJV,Joy,
They that sow in tears shall reap in joy.,Psalm 126:5,Easy,KJV,Joy,
"Make a joyful noise unto the Lord, all ye lands.",Psalm 100:1,Easy,KJV,Joy,
"Thy words were found, and I did eat them; and thy word was unto me the joy and rejoicing of mine heart: for I am called by thy name, O Lord God of hosts.",Jeremiah 15:16,Intermediate,KJV,Joy,
Deceit is in the heart of them that imagine evil: but to the counsellors of peace is joy.,Proverbs 12:20,Intermediate,KJV,Joy,
