QUESTIONS,ANSWER,LOD,TRANSLATION,FRUIT,CATEGORY
Blessed are the meek: for they shall inherit the earth.,Psalm 37:11,Easy,KJV,Meekness,
But the meek shall inherit the earth; and shall delight themselves in the abundance of peace.,James 3:13,Easy,KJV,Meekness,
Who is a wise man and endued with knowledge among you? let him shew out of a good conversation his works with meekness of wisdom.,Matthew 11:29,Intermediate,KJV,Meekness,
"Take my yoke upon you, and learn of me; for I am meek and lowly in heart: and ye shall find rest unto your souls.",Psalm 25:9,Easy,KJV,Meekness,
The meek will he guide in judgment: and the meek will he teach his way.,Numbers 12:3,Easy,KJV,Meekness,
"Now the man Moses was very meek, above all the men which were upon the face of the earth.",James 1:21,Easy,KJV,Meekness,
"Wherefore lay apart all filthiness and superfluity of naughtiness, and receive with meekness the engrafted word, which is able to save your souls.",Psalm 147:6,Difficult,KJV,Meekness,
The Lord lifteth up the meek: he casteth the wicked down to the ground.,1 John 5:4,Easy,KJV,Meekness,
"The meek also shall increase their joy in the Lord, and the poor among men shall rejoice in the Holy One of Israel.",Isaiah 29:19,Intermediate,KJV,Meekness,
"If the spirit of the ruler rise up against thee, leave not thy place; for yielding pacifieth great offences.",Ecclesiastes 10:4,Intermediate,KJV,Meekness,
But he that is greatest among you shall be your servant.,Matthew 23:11,Easy,KJV,Meekness,
"For all those things hath mine hand made, and all those things have been, saith the Lord: but to this man will I look, even to him that is poor and of a contrite spirit, and trembleth at my word.",Isaiah 66:2,Difficult,KJV,Meekness,
"But he giveth more grace. Wherefore he saith, God resisteth the proud, but giveth grace unto the humble.",James 4:6,Intermediate,KJV,Meekness,
"Put them in mind to be subject to principalities and powers, to obey magistrates, to be ready to every good work, To speak evil of no man, to be no brawlers, but gentle, shewing all meekness unto all men.",Titus 3:1-2,Difficult,KJV,Meekness,
"He was oppressed, and he was afflicted, yet he opened not his mouth: he is brought as a lamb to the slaughter, and as a sheep before her shearers is dumb, so he openeth not his mouth.",Isaiah 53&,Intermediate,KJV,Meekness,
