VERSE,SCRIPTURE,LOD,TRANSLATION,FRUIT,CATEGORY
Matthew 17:20-21,"And Jesus said unto them, Because of your unbelief: for verily I say unto you, If ye have faith as a grain of mustard seed, ye shall say unto this mountain, Remove hence to yonder place; and it shall remove; and nothing shall be impossible unto you. Howbeit this kind goeth not out but by prayer and fasting.",Difficult,KJV,Faith,
Hebrews 11:1-3,"Now faith is the substance of things hoped for, the evidence of things not seen. For by it the elders obtained a good report. Through faith we understand that the worlds were framed by the word of God, so that things which are seen were not made of things which do appear.",Difficult,KJV,Faith,
Hebrews 11:6,"But without faith it is impossible to please him: for he that cometh to God must believe that he is, and that he is a rewarder of them that diligently seek him.",Difficult,KJV,Faith,
Hebrews 11:11,"Through faith also Sara herself received strength to conceive seed, and was delivered of a child when she was past age, because she judged him faithful who had promised.",Difficult,KJV,Faith,
2 Corinthians 5:7,"For we walk by faith, not by sight.",Easy,KJV,Faith,
Romans 10:17,"So then faith cometh by hearing, and hearing by the word of God.",Easy,KJV,Faith,
Mark 9:23,"Jesus said unto him, 'If thou canst believe, all things are possible to him that believeth.'",Easy,KJV,Faith,
Matthew 21:22,"And all things, whatsoever ye shall ask in prayer, believing, ye shall receive.",Easy,KJV,Faith,
James 2:17,"Even so faith, if it hath not works, is dead, being alone.",Easy,KJV,Faith,
Habakkuk 2:4,"Behold, his soul which is lifted up is not upright in him: but the just shall live by his faith.",Easy,KJV,Faith,
2 Timothy 2:13,"If we believe not, yet he abideth faithful: he cannot deny himself.",Easy,KJV,Faith,
1 John 5:4,"For whatsoever is born of God overcometh the world: and this is the victory that overcometh the world, even our faith.",Intermediate,KJV,Faith,
Ephesians 2:8-9,"For by grace are ye saved through faith, and that not of yourselves. It is the gift of God - not of works, lest any man should boast.",Intermediate,KJV,Faith,
"James 1:3, 6","Knowing this, that the trying of your faith works patience...But let him ask in faith, nothing wavering. For he that wavers is like a wave of the sea driven with the wind and tossed.",Intermediate,KJV,Faith,
Proverbs 15:1,A soft answer turneth away wrath: but grievous words stir up anger.,Easy,KJV,Gentleness,
Proverbs 16:25,"Pleasant words are as an honeycomb, sweet to the soul, and health to the bones.",Easy,KJV,Gentleness,
1 Peter 3:15, But sanctify the Lord God in your hearts: and be ready always to give an answer to every man that asketh you a reason of the hope that is in you with meekness and fear:,Intermediate,KJV,Gentleness,
Colossians 3:12,"Put on therefore, as the elect of God, holy and beloved, bowels of mercies, kindness, humbleness of mind, meekness, longsuffering.",Intermediate,KJV,Gentleness,
Titus 3:2,"To speak evil of no man, to be no brawlers, but gentle, shewing all meekness unto all men.",Easy,KJV,Gentleness,
Ephesians 4:2,"With all lowliness and meekness, with longsuffering, forbearing one another in love.",Intermediate,KJV,Gentleness,
1 Timothy 6:11,"But thou, O man of God, flee these things; and follow after righteousness, godliness, faith, love, patience, meekness.",Easy,KJV,Gentleness,
1 Peter 3:4,"But let it be the hidden man of the heart, in that which is not corruptible, even the ornament of a meek and quiet spirit, which is in the sight of God of great price.",Difficult,KJV,Gentleness,
Matthew 11:29-30,"Take my yoke upon you, and learn of me; for I am meek and lowly in heart: and ye shall find rest unto your souls. For my yoke is easy, and my burden is light.",Intermediate,KJV,Gentleness,
Proverbs 25:15,"By long forbearing is a prince persuaded, and a soft tongue breaketh the bone.",Difficult,KJV,Gentleness,
1 Kings 19:12,And after the earthquake a fire; but the Lord was not in the fire: and after the fire a still small voice.,Intermediate,KJV,Gentleness,
Galatians 6:1,"Brethren, if a man be overtaken in a fault, ye which are spiritual, restore such an one in the spirit of meekness; considering thyself, lest thou also be tempted.",Intermediate,KJV,Gentleness,
2 Timothy 2:24-25,"And the servant of the Lord must not strive; but be gentle unto all men, apt to teach, patient, in meekness instructing those that oppose themselves; if God peradventure will give them repentance to the acknowledging of the truth.",Difficult,KJV,Gentleness,
Psalm 27:13-14,"I had fainted, unless I had believed to see the goodness of the Lord in the land of the living. Wait on the Lord: be of good courage, and he shall strengthen thine heart: wait, I say, on the Lord.",Intermediate,KJV,Goodness,
Psalm 23:6,Surely goodness and mercy shall follow me all the days of my life: and I will dwell in the house of the Lord for ever.,Easy,KJV,Goodness,
Psalm 145:9,The Lord is good to all: and his tender mercies are over all his works.,Easy,KJV,Goodness,
Mark 10:18,"And Jesus said unto him, Why callest thou me good? there is none good but one, that is, God.",Easy,KJV,Goodness,
James 1:17,"Every good gift and every perfect gift is from above, and cometh down from the Father of lights, with whom is no variableness, neither shadow of turning.",Intermediate,KJV,Goodness,
Matthew 7:11,"If ye then, being evil, know how to give good gifts unto your children, how much more shall your Father which is in heaven give good things to them that ask him?",Intermediate,KJV,Goodness,
Psalm 33:5,He loveth righteousness and judgment: the earth is full of the goodness of the Lord.,Easy,KJV,Goodness,
Psalm 107:8-9,"Oh that men would praise the Lord for his goodness, and for his wonderful works to the children of men! For he satisfieth the longing soul, and filleth the hungry soul with goodness.",Intermediate,KJV,Goodness,
Nehemiah 9:20,"Thou gavest also thy good spirit to instruct them, and withheldest not thy manna from their mouth, and gavest them water for their thirst.",Intermediate,KJV,Goodness,
Nahum 1:7,"The Lord is good, a strong hold in the day of trouble; and he knoweth them that trust in him.",Easy,KJV,Goodness,
Psalm 31:19-20,"Oh how great is thy goodness, which thou hast laid up for them that fear thee; which thou hast wrought for them that trust in thee before the sons of men! Thou shalt hide them in the secret of thy presence from the pride of man: thou shalt keep them secretly in a pavilion from the strife of tongues.",Difficult,KJV,Goodness,
Psalm 16:2,"O my soul, thou hast said unto the Lord, Thou art my Lord: my goodness extendeth not to thee;",Difficult,KJV,Goodness,
Psalm 34:8,O taste and see that the Lord is good: blessed is the man that trusteth in him.,Easy,KJV,Goodness,
Psalm 84:11,For the Lord God is a sun and shield: the Lord will give grace and glory: no good thing will he withhold from them that walk uprightly.,Intermediate,KJV,Goodness,
Psalm 86:5,"For thou, Lord, art good, and ready to forgive; and plenteous in mercy unto all them that call upon thee.",Easy,KJV,Goodness,
Luke 6:35,"But love ye your enemies, and do good, and lend, hoping for nothing again; and your reward shall be great, and ye shall be the children of the Highest: for he is kind unto the unthankful and to the evil.",Difficult,KJV,Goodness,
