VERSE,SCRIPTURE,LOD,TRANSLATION,FRUIT,CATEGORY
Phillippians 4:6-7,"Be careful for nothing. but in everything by prayer & supplication, with thanksgiving, let your requests be made known unto god. ANd the peace of god which surpasses all understanding shall keep your hearts & minds through christ jesus.",Intermediate,KJV,Peace,
John 14:27,"Peace I leave with you, my peace I give unto you: not as the world giveth, give I unto you. Let not your heart be troubled, neither let it be afraid.",Easy,KJV,Peace,
Isaiah 26:3,"Thou wilt keep him in perfect peace, whose mind is stayed on thee: because he trusteth in thee.",Easy,KJV,Peace,
2 Thessalonians 3:16,Now the Lord of peace himself give you peace always by all means. The Lord be with you all.,Easy,KJV,Peace,
Psalm 4:8,"I will both lay me down in peace, and sleep: for thou, Lord, only makest me dwell in safety.",Easy,KJV,Peace,
Romans 5:1,"Therefore being justified by faith, we have peace with God through our Lord Jesus Christ.",Intermediate,KJV,Peace,
Colossians 3:15,"And let the peace of God rule in your hearts, to the which also ye are called in one body; and be ye thankful.",Intermediate,KJV,Peace,
Psalm 34:14,"Depart from evil, and do good. seek peace, and pursue it.",Easy,KJV,Peace,
Proverbs 16:7,"When a man's ways please the Lord, he maketh even his enemies to be at peace with him.",Intermediate,KJV,Peace,
John 20:21,"Then said Jesus to them again, Peace be unto you: as my Father hath sent me, even so send I you.",Intermediate,KJV,Peace,
Mark 4:39,"And he arose, and rebuked the wind, and said unto the sea, Peace, be still. And the wind ceased, and there was a great calm.",Difficult,KJV,Peace,
Matthew 5:9,Blessed are the peacemakers: for they shall be called the children of God.,Easy,KJV,Peace,
Hebrews 12:14,"Follow peace with all men, and holiness, without which no man shall see the Lord.",Intermediate,KJV,Peace,
1 Corinthians 14:33,"For God is not the author of confusion, but of peace, as in all churches of the saints.",Intermediate,KJV,Peace,
James 3:17,"But the wisdom that is from above is first pure, then peaceable, gentle, and easy to be intreated, full of mercy and good fruits, without partiality, and without hypocrisy.",Difficult,KJV,Peace,
Romans 8:6,For to be carnally minded is death; but to be spiritually minded is life and peace.,Easy,KJV,Peace,
Psalm 29:11,The Lord will give strength unto his people; the Lord will bless his people with peace.,Easy,KJV,Peace,
Romans 12:18,"If it be possible, as much as lieth in you, live peaceably with all men.",Easy,KJV,Peace,
