VERSE,SCRIPTURE,LOD,TRANSLATION,FRUIT,CATEGORY
2 Corinthians 5:7,"For we walk by faith, not by sight.",Easy,KJV,Faith,
Romans 10:17,"So then faith cometh by hearing, and hearing by the word of God.",Easy,KJV,Faith,
Mark 9:23,"Jesus said unto him, 'If thou canst believe, all things are possible to him that believeth.'",Easy,KJV,Faith,
Matthew 21:22,"And all things, whatsoever ye shall ask in prayer, believing, ye shall receive.",Easy,KJV,Faith,
James 2:17,"Even so faith, if it hath not works, is dead, being alone.",Easy,KJV,Faith,
Habakkuk 2:4,"Behold, his soul which is lifted up is not upright in him: but the just shall live by his faith.",Easy,KJV,Faith,
2 Timothy 2:13,"If we believe not, yet he abideth faithful: he cannot deny himself.",Easy,KJV,Faith,
1 John 5:4,"For whatsoever is born of God overcometh the world: and this is the victory that overcometh the world, even our faith.",Intermediate,KJV,Faith,
Ephesians 2:8-9,"For by grace are ye saved through faith, and that not of yourselves. It is the gift of God - not of works, lest any man should boast.",Intermediate,KJV,Faith,
"James 1:3, 6","Knowing this, that the trying of your faith works patience...But let him ask in faith, nothing wavering. For he that wavers is like a wave of the sea driven with the wind and tossed.",Intermediate,KJV,Faith,
Matthew 17:20-21,"And Jesus said unto them, Because of your unbelief: for verily I say unto you, If ye have faith as a grain of mustard seed, ye shall say unto this mountain, Remove hence to yonder place; and it shall remove; and nothing shall be impossible unto you. Howbeit this kind goeth not out but by prayer and fasting.",Difficult,KJV,Faith,
Hebrews 11:1-3,"Now faith is the substance of things hoped for, the evidence of things not seen. For by it the elders obtained a good report. Through faith we understand that the worlds were framed by the word of God, so that things which are seen were not made of things which do appear.",Difficult,KJV,Faith,
Hebrews 11:6,"But without faith it is impossible to please him: for he that cometh to God must believe that he is, and that he is a rewarder of them that diligently seek him.",Difficult,KJV,Faith,
Hebrews 11:11,"Through faith also Sara herself received strength to conceive seed, and was delivered of a child when she was past age, because she judged him faithful who had promised.",Difficult,KJV,Faith,
